Index (Dec), Index (Hex), Mnemonic, NV, Type, Description
512,0x0200,DEVICE_ID**,R,L,Device Identifier
514,0x0202,VERSION_NUMBER**,R,L,Version Number
516,0x0204,SYSTEM_STATUS,R,L,Enumerated Status information
518,0x0206,BOOT_LOADER_VERSION,R,L,Boot Loader Version
520,0x0208,HARDWARE_VERSION,R,L,Hardware Version
522 0x020a SMART OUTPUT VERSION R L Smart Output Module Version
524 0x020c ISOLATED OUTPUT VERSION R L Isolated Output Module Version
528,0x0210,CURRENT_INPUT_VALUE,R,F,Primary Input Scaled value
530 0x0212 REMOTE_SENSOR_VALUE F Internal Use Only
532 0x0214 REMOTE_SETPOINT_VALUE RW F
534 0x0216 SMART SENSOR VALUE R F Currently selected Smart Sensor value
542,0x021e,INPUT_DIGITAL,R,R,State of digital input pin
544,0x0220,CURRENT_SETPOINT_1,RW,F,Current value of Setpoint 1
546,0x0222,CURRENT_SETPOINT_2,RW,F,Current value of Setpoint 2
548,0x0224,CONTROL_SETPOINT,RW,F,Setpoint used in PID calculations
550,0x0226,PEAK_VALUE,RW,F,Maximum Value processed
552,0x0228,VALLEY_VALUE,RW,F,Minimum Value processed
554 0x022a PID_OUTPUT R,F PID Output level (0.100%)
556 0x022c CURRENT_INPUT_VALID R,R Flag indicating process value is valid
557 0x022d ALARM_STATE R R
558,0x022e,RAMP_SOAK_STATE,R,R,Enumerated value - R&S state
560,0x0230,OUTPUT_1_STATE,R,R,State of Output (0/1)
561,0x0231,OUTPUT_2_STATE,R,R,State of Output (0/1)
562,0x0232,OUTPUT_3_STATE,R,R,State of Output (0/1)
563,0x0233,OUTPUT_4_STATE,R,R,State of Output (0/1)
564,0x0234,OUTPUT_5_STATE,R,R,State of Output (0/1)
565,0x0235,OUTPUT_6_STATE,R,R,State of Output (0/1)
566,0x0236,OUTPUT_7_STATE,R,R,State of Output (0/1)
567,0x0237,OUTPUT_8_STATE,R,R,State of Output (0/1)
576,0x0240,RUN_MODE,RW,R,Enumerated value – system running state
577 0x0241 FACTORY_RESET W R Write 1 to force reset to factory defaults
